year,anti_american_indian_or_alaska_native_per_capita,anti_arab_per_capita,anti_asian_per_capita,anti_atheism_agnosticism_per_capita,anti_bisexual_per_capita,anti_black_or_african_american_per_capita,anti_buddhist_per_capita,anti_catholic_per_capita,anti_eastern_orthodox_russian_greek_other_per_capita,anti_female_per_capita,anti_gay_male_per_capita,anti_gender_non_conforming_per_capita,anti_heterosexual_per_capita,anti_hindu_per_capita,anti_hispanic_or_latino_per_capita,anti_islamic_muslim_per_capita,anti_jehovahs_witness_per_capita,anti_jewish_per_capita,anti_lesbian_female_per_capita,anti_male_per_capita,anti_mental_disability_per_capita,anti_mormon_per_capita,anti_native_hawaiian_or_other_pacific_islander_per_capita,anti_physical_disability_per_capita,anti_protestant_per_capita,anti_sikh_per_capita,anti_transgender_per_capita,anti_white_per_capita,anti_lgbtq_grouped_per_capita
2000,0.02100026078764532,0.013525591693737665,0.09966225458543541,0.0014237464940776488,0.007474669093907657,1.0468096097705912,0.0,0.019932450917087084,0.0,0.0,0.32212264428506804,0.0,0.009254352211504717,0.0,0.2039516852766232,0.010322162082062953,0.0,0.3993608915887805,0.06869576833924655,0.0,0.00640685922334942,0.0,0.0,0.007118732470388245,0.02100026078764532,0.0,0.0,0.3228345175321069,0.46449729369283294
2001,0.027489664265100286,0.08951762465814708,0.09868084607984717,0.0017621579657115566,0.00528647389713467,1.0301575467549762,0.0,0.012687537353123206,0.0,0.0,0.34925970880403057,0.0,0.005638905490276981,0.0,0.213925977037383,0.17586336497801336,0.0,0.37111046757885385,0.07224847659417383,0.0,0.008105926642273161,0.0,0.0,0.004934042303992359,0.011982674166838585,0.0,0.0,0.29005120115612226,0.48917505128152816
2002,0.02269667348474738,0.028283546957915965,0.07647033066399501,0.0006983591841460732,0.005586873473168586,0.8914554985624625,0.0,0.017808159195724867,0.0,0.0,0.2894698818285474,0.0,0.004539334696949476,0.0,0.17214553889200707,0.054472016363393716,0.0,0.3278796369565814,0.06075724902070837,0.0,0.011173746946337172,0.0,0.0,0.00733277143353377,0.018506518379870943,0.0,0.0,0.28143875121086753,0.4336810533547115
2003,0.024579655096133298,0.004846692554167129,0.0817013887702459,0.003115730927678869,0.0027695386023812167,0.8910990453161566,0.0,0.025964424397323906,0.0,0.0,0.27383812931044277,0.0,0.0055390772047624335,0.0,0.1495550845285857,0.05158265646935017,0.0,0.32230505485211414,0.06369938785476799,0.0,0.0034619232529765212,0.0,0.0,0.012462923710715477,0.0166172316142873,0.0,0.0,0.2883782069729442,0.4272013294173027
2004,0.029156346134797558,0.0,0.07683554746111357,0.002058095021279828,0.00514523755319957,0.9484387889731207,0.0,0.019551902702158366,0.0,0.0,0.2531456876174188,0.0,0.009947459269519168,0.0,0.16396157002862627,0.05419650222703546,0.0,0.3310102825891723,0.05659761308519526,0.0,0.010976506780159082,0.0,0.0,0.00788936424823934,0.01337761763831888,0.0,0.0,0.28401711293661625,0.3982413866176467
2005,0.027190180048953877,0.0,0.07171409987911585,0.001359509002447694,0.00883680851591001,0.9139299268954623,0.0,0.022771775790998875,0.0,0.0,0.22873738966182453,0.0,0.007137422262850394,0.0,0.18387359258105063,0.04690306058444544,0.0,0.3184649838233723,0.05472023734851968,0.0,0.011895703771417323,0.0,0.0,0.007137422262850394,0.019033126034267715,0.0,0.0,0.2790392227523892,0.36128951740047466
2006,0.02087048918585336,0.0,0.06227484676423986,0.0023563455532415083,0.006732415866404309,0.8913718607119306,0.0,0.02524655949901616,0.0,0.0,0.2517923534035212,0.0,0.01043524459292668,0.0,0.19927950964556757,0.05251284375795361,0.0,0.3261855487272888,0.054532568517874906,0.0,0.021880351565814006,0.0,0.0,0.006059174279763878,0.020197247599212927,0.0,0.0,0.2894938822553853,0.3955294321512532
2007,0.02033905999906667,0.0,0.06335117048889619,0.0023339904916961753,0.007668825901287433,0.8932515038934363,0.0,0.02033905999906667,0.0,0.0,0.25907294457827545,0.0,0.007668825901287433,0.0,0.19938947343347324,0.03834412950643717,0.0,0.3244246783457684,0.048346945899420776,0.0,0.013003661310878692,0.0,0.0,0.006668544261989072,0.018671923933569402,0.0,0.0,0.24773641933289403,0.4181177252267148
2008,0.018496391781692455,0.0,0.04723185758539322,0.004624097945423114,0.009248195890846227,0.9753543737738896,0.0,0.026093124120601854,0.0,0.0,0.2639038755995048,0.0,0.010899659442783052,0.0,0.189918308472735,0.03468073459067335,0.0,0.34218324796131033,0.05251654095159107,0.0,0.021799318885566105,0.0,0.0,0.008917903180458861,0.018166099071305085,0.0,0.0,0.2510224598943976,0.4303714016347369
2009,0.022264071983778447,0.0,0.04190884138123002,0.003274128232908596,0.007857907758980629,0.753049493568977,0.0,0.017025466811124698,0.0,0.0,0.22526002242411136,0.0,0.006875669289108051,0.0,0.15912263211935776,0.03503317209212197,0.0,0.3051487513070811,0.06089878513209988,0.0,0.02291889763036017,0.0,0.0,0.007857907758980629,0.012441687285052662,0.0,0.0,0.1764755117537733,0.3948598648887766
