state,year,population_estimate,total_incidents_per_capita,anti_american_indian_or_alaska_native_per_capita,anti_arab_per_capita,anti_asian_per_capita,anti_atheism_agnosticism_per_capita,anti_bisexual_per_capita,anti_black_or_african_american_per_capita,anti_buddhist_per_capita,anti_catholic_per_capita,anti_eastern_orthodox_russian_greek_other_per_capita,anti_female_per_capita,anti_gay_male_per_capita,anti_gender_non_conforming_per_capita,anti_heterosexual_per_capita,anti_hindu_per_capita,anti_hispanic_or_latino_per_capita,anti_islamic_muslim_per_capita,anti_jehovahs_witness_per_capita,anti_jewish_per_capita,anti_lesbian_female_per_capita,anti_male_per_capita,anti_mental_disability_per_capita,anti_mormon_per_capita,anti_multiple_races_group_per_capita,anti_multiple_religions_group_per_capita,anti_native_hawaiian_or_other_pacific_islander_per_capita,anti_other_christian_per_capita,anti_other_race_ethnicity_ancestry_per_capita,anti_other_religion_per_capita,anti_physical_disability_per_capita,anti_protestant_per_capita,anti_sikh_per_capita,anti_transgender_per_capita,anti_white_per_capita,unknown_motivation_per_capita,anti_lgbtq_grouped_per_capita
Alabama,2000,4452173,0.04492188421249579,0.0,0.0,0.0,0.0,0.0,0.022460942106247894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022460942106247894,0.0,0.0
Alaska,2000,627963,0.6369802042477025,0.0,0.0,0.0,0.0,0.0,0.6369802042477025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,2000,5160586,5.445118054422501,0.0968882216089413,0.058132932965364786,0.0968882216089413,0.0,0.0,1.7633656332827319,0.0,0.058132932965364786,0.0,0.0,0.8138610615151071,0.0,0.0,0.0,0.7169728399061657,0.019377644321788262,0.0,0.44568581940113006,0.11626586593072957,0.0,0.0,0.0,0.6782175512625891,0.07751057728715305,0.0,0.0,0.038755288643576524,0.0968882216089413,0.019377644321788262,0.0,0.0,0.0,0.2906646648268239,0.0,1.0463927933765662
Arkansas,2000,2678588,0.1119993070976201,0.0,0.0,0.0,0.0,0.0,0.07466620473174673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037333102365873366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,2000,33987977,5.71672741805139,0.005884433780804312,0.0,0.2942216890402156,0.0,0.002942216890402156,1.7829834355837066,0.0,0.026479952013619405,0.0,0.0,0.9562204893807007,0.0,0.017653301342412935,0.0,0.585501161190029,0.008826650671206467,0.0,0.6943631861349088,0.132399760068097,0.0,0.0,0.0,0.2530306525745854,0.01471108445201078,0.0,0.0,0.28245282147860695,0.08826650671206468,0.008826650671206467,0.05295990402723881,0.0,0.0,0.4266214491083126,0.0,1.1739445392704604
Colorado,2000,4326921,2.3342233426494268,0.023111122204449767,0.09244448881779907,0.20800009984004794,0.0,0.0,0.8088892771557419,0.0,0.046222244408899535,0.0,0.0,0.25422234424894746,0.0,0.0,0.0,0.32355571086229673,0.0,0.0,0.18488897763559814,0.0,0.0,0.0,0.0,0.023111122204449767,0.023111122204449767,0.0,0.0,0.11555561102224884,0.0,0.0,0.0,0.0,0.0,0.13866673322669862,0.0,0.3466668330667465
Connecticut,2000,3411777,4.572397316706221,0.0,0.0,0.1465511960482763,0.0,0.0,2.139647462304834,0.0,0.26379215288689734,0.0,0.0,0.17586143525793158,0.0,0.0,0.0,0.20517167446758683,0.029310239209655264,0.0,0.5275843057737947,0.029310239209655264,0.0,0.05862047841931053,0.0,0.08793071762896579,0.0,0.0,0.0,0.2344819136772421,0.0,0.029310239209655264,0.05862047841931053,0.0,0.0,0.41034334893517366,0.0,0.3810331097255184
Delaware,2000,786373,4.323647938065015,0.0,0.0,0.38149834747632483,0.0,0.0,1.5259933899052993,0.0,0.12716611582544163,0.0,0.0,0.8901628107780913,0.0,0.0,0.0,0.0,0.0,0.0,0.5086644633017665,0.12716611582544163,0.0,0.12716611582544163,0.0,0.12716611582544163,0.12716611582544163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25433223165088326,0.0,1.1444950424289744
District of Columbia,2000,572046,1.0488666995311566,0.0,0.0,0.0,0.0,0.1748111165885261,0.3496222331770522,0.0,0.0,0.0,0.0,0.1748111165885261,0.0,0.0,0.0,0.1748111165885261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1748111165885261,0.0,0.3496222331770522
Florida,2000,16047515,1.495558658147383,0.0,0.0,0.0062314944089474295,0.0,0.0,0.5732974856231635,0.0,0.0062314944089474295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24925977635789717,0.0,0.0,0.0,0.0,0.018694483226842286,0.0,0.0,0.0,0.1495558658147383,0.012462988817894859,0.0,0.0062314944089474295,0.0,0.0,0.24925977635789717,0.0,0.22433379872210743
Georgia,2000,8227303,0.42541279930981024,0.0,0.0,0.0,0.0,0.0,0.21878372535933102,0.0,0.0,0.0,0.0,0.08508255986196206,0.0,0.0,0.0,0.024309302817703445,0.0,0.0,0.0,0.04861860563540689,0.0,0.0,0.0,0.024309302817703445,0.012154651408851722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012154651408851722,0.0,0.13370116549736893
