area,year,pop_estimate
Alabama,1991,4099156
Alaska,1991,570193
Arizona,1991,3788576
Arkansas,1991,2383144
California,1991,30470736
Colorado,1991,3387119
Connecticut,1991,3302895
Delaware,1991,683080
District of Columbia,1991,600870
Florida,1991,13369798
Georgia,1991,6653005
Hawaii,1991,1136754
Idaho,1991,1041316
Illinois,1991,11568964
Indiana,1991,5616388
Iowa,1991,2797613
Kansas,1991,2498722
Kentucky,1991,3722328
Louisiana,1991,4253279
Maine,1991,1237081
Maryland,1991,4867641
Massachusetts,1991,6018470
Michigan,1991,9400446
Minnesota,1991,4440859
Mississippi,1991,2598733
Missouri,1991,5170800
Montana,1991,809680
Nebraska,1991,1595919
Nevada,1991,1296171
New Hampshire,1991,1109929
New Jersey,1991,7814676
New Mexico,1991,1555305
New York,1991,18122510
North Carolina,1991,6784280
North Dakota,1991,635753
Ohio,1991,10945762
Oklahoma,1991,3175440
Oregon,1991,2928507
Pennsylvania,1991,11982164
Rhode Island,1991,1010649
South Carolina,1991,3570404
South Dakota,1991,703669
Tennessee,1991,4966587
Texas,1991,17398005
Utah,1991,1779780
Vermont,1991,568606
Virginia,1991,6301217
Washington,1991,5025624
West Virginia,1991,1798735
Wisconsin,1991,4964343
Wyoming,1991,459260
Alabama,1992,4154014
Alaska,1992,588736
Arizona,1992,3915740
Arkansas,1992,2415984
California,1992,30974659
Colorado,1992,3495939
Connecticut,1992,3300712
Delaware,1992,694925
District of Columbia,1992,597565
Florida,1992,13650553
Georgia,1992,6817203
Hawaii,1992,1158613
Idaho,1992,1071685
Illinois,1992,11694184
Indiana,1992,5674547
Iowa,1992,2818401
Kansas,1992,2532394
Kentucky,1992,3765469
Louisiana,1992,4293003
Maine,1992,1238508
Maryland,1992,4923368
Massachusetts,1992,6028709
Michigan,1992,9479065
Minnesota,1992,4495572
Mississippi,1992,2623734
Missouri,1992,5217101
Montana,1992,825770
Nebraska,1992,1611687
Nevada,1992,1351367
New Hampshire,1992,1117784
New Jersey,1992,7880508
New Mexico,1992,1595442
New York,1992,18246653
North Carolina,1992,6897214
North Dakota,1992,638223
Ohio,1992,11029431
Oklahoma,1992,3220517
Oregon,1992,2991755
Pennsylvania,1992,12049450
Rhode Island,1992,1012581
South Carolina,1992,3620464
South Dakota,1992,712801
Tennessee,1992,5049742
Texas,1992,17759738
Utah,1992,1836799
Vermont,1992,572751
Virginia,1992,6414307
Washington,1992,5160757
West Virginia,1992,1806451
Wisconsin,1992,5025398
Wyoming,1992,466251
Alabama,1993,4099156
Alaska,1993,570193
Arizona,1993,3788576
Arkansas,1993,2383144
California,1993,30470736
Colorado,1993,3387119
Connecticut,1993,3302895
Delaware,1993,683080
District of Columbia,1993,600870
Florida,1993,13369798
Georgia,1993,6653005
Hawaii,1993,1136754
Idaho,1993,1041316
Illinois,1993,11568964
Indiana,1993,5616388
Iowa,1993,2797613
Kansas,1993,2498722
Kentucky,1993,3722328
Louisiana,1993,4253279
Maine,1993,1237081
Maryland,1993,4867641
Massachusetts,1993,6018470
Michigan,1993,9400446
Minnesota,1993,4440859
Mississippi,1993,2598733
Missouri,1993,5170800
Montana,1993,809680
Nebraska,1993,1595919
Nevada,1993,1296171
New Hampshire,1993,1109929
New Jersey,1993,7814676
New Mexico,1993,1555305
New York,1993,18122510
North Carolina,1993,6784280
North Dakota,1993,635753
Ohio,1993,10945762
Oklahoma,1993,3175440
Oregon,1993,2928507
Pennsylvania,1993,11982164
Rhode Island,1993,1010649
South Carolina,1993,3570404
South Dakota,1993,703669
Tennessee,1993,4966587
Texas,1993,17398005
Utah,1993,1779780
Vermont,1993,568606
Virginia,1993,6301217
Washington,1993,5025624
West Virginia,1993,1798735
Wisconsin,1993,4964343
Wyoming,1993,459260
Alabama,1994,4260229
Alaska,1994,603308
Arizona,1994,4245089
Arkansas,1994,2494019
California,1994,31484435
Colorado,1994,3724168
Connecticut,1994,3316121
Delaware,1994,717545
District of Columbia,1994,589239
Florida,1994,14239444
Georgia,1994,7157165
Hawaii,1994,1187536
Idaho,1994,1145140
Illinois,1994,11912585
Indiana,1994,5793526
Iowa,1994,2850746
Kansas,1994,2580513
Kentucky,1994,3849088
Louisiana,1994,4347481
Maine,1994,1242662
Maryland,1994,5023060
Massachusetts,1994,6095241
Michigan,1994,9597737
Minnesota,1994,4610355
Mississippi,1994,2688992
Missouri,1994,5324497
Montana,1994,861306
Nebraska,1994,1639041
Nevada,1994,1499298
New Hampshire,1994,1142560
New Jersey,1994,8014306
New Mexico,1994,1682398
New York,1994,18459470
North Carolina,1994,7187398
North Dakota,1994,644804
Ohio,1994,11152454
Oklahoma,1994,3280940
Oregon,1994,3121264
Pennsylvania,1994,12166050
Rhode Island,1994,1015960
South Carolina,1994,3705397
South Dakota,1994,730790
Tennessee,1994,5231438
Texas,1994,18564062
Utah,1994,1960446
Vermont,1994,583836
Virginia,1994,6593139
Washington,1994,5375161
West Virginia,1994,1820421
Wisconsin,1994,5133678
Wyoming,1994,480283
Alabama,1995,4296800
Alaska,1995,604412
Arizona,1995,4432499
Arkansas,1995,2535399
California,1995,31696582
Colorado,1995,3826653
Connecticut,1995,3324144
Delaware,1995,729734
District of Columbia,1995,580517
Florida,1995,14537875
Georgia,1995,7328413
Hawaii,1995,1196854
Idaho,1995,1177322
Illinois,1995,12008437
Indiana,1995,5851459
Iowa,1995,2867373
Kansas,1995,2601007
Kentucky,1995,3887427
Louisiana,1995,4378779
Maine,1995,1243480
Maryland,1995,5070033
Massachusetts,1995,6141445
Michigan,1995,9676211
Minnesota,1995,4660180
Mississippi,1995,2722659
Missouri,1995,5378247
Montana,1995,876553
Nebraska,1995,1656992
Nevada,1995,1581578
New Hampshire,1995,1157561
New Jersey,1995,8083242
New Mexico,1995,1720394
New York,1995,18524104
North Carolina,1995,7344674
North Dakota,1995,647832
Ohio,1995,11202751
Oklahoma,1995,3308208
Oregon,1995,3184369
Pennsylvania,1995,12198403
Rhode Island,1995,1017002
South Carolina,1995,3748582
South Dakota,1995,737925
Tennessee,1995,5326936
Texas,1995,18958751
Utah,1995,2014177
Vermont,1995,589002
Virginia,1995,6670693
Washington,1995,5481027
West Virginia,1995,1823700
Wisconsin,1995,5184836
Wyoming,1995,485160
Alabama,1996,4331102
Alaska,1996,608569
Arizona,1996,4586940
Arkansas,1996,2572109
California,1996,32018834
Colorado,1996,3919972
Connecticut,1996,3336685
Delaware,1996,740977
District of Columbia,1996,572377
Florida,1996,14853360
Georgia,1996,7501069
Hawaii,1996,1203755
Idaho,1996,1203083
Illinois,1996,12101997
Indiana,1996,5906013
Iowa,1996,2880000
Kansas,1996,2614554
Kentucky,1996,3919535
Louisiana,1996,4398877
Maine,1996,1249060
Maryland,1996,5111986
Massachusetts,1996,6179756
Michigan,1996,9758645
Minnesota,1996,4712827
Mississippi,1996,2748085
Missouri,1996,5431553
Montana,1996,886254
Nebraska,1996,1673740
Nevada,1996,1666320
New Hampshire,1996,1174719
New Jersey,1996,8149596
New Mexico,1996,1752326
New York,1996,18588460
North Carolina,1996,7500670
North Dakota,1996,650382
Ohio,1996,11242827
Oklahoma,1996,3340129
Oregon,1996,3247111
Pennsylvania,1996,12220464
Rhode Island,1996,1020893
South Carolina,1996,3796200
South Dakota,1996,742213
