area,year,pop_estimate,total_incidents,total_incidents_per_capita
United States,2000,282162411,8219.0,2.9128614158318915
United States,2001,284968955,9730.0,3.414407018476802
United States,2002,287625193,7485.0,2.6023450595303035
United States,2003,290107933,7545.0,2.6007561813209708
United States,2004,292805298,7685.0,2.6246109795458685
United States,2005,295516599,7411.0,2.507811752394998
United States,2006,298379912,7711.0,2.5842892533596564
United States,2007,301231207,7625.0,2.5312782416995727
United States,2008,304093966,8039.0,2.643590764310003
United States,2009,306771529,6613.0,2.1556759264970773
United States,2010,309327143,6633.0,2.1443317051552766
United States,2011,311583481,6299.0,2.0216090980766723
United States,2012,313877662,6594.0,2.100818502974576
United States,2013,316059947,6044.0,1.9122954545075588
United States,2014,318386329,5599.0,1.7585554058132942
United States,2015,320738994,5870.0,1.8301485350421722
United States,2016,323071755,6276.0,1.9426025032736147
United States,2017,325122128,7318.0,2.2508464880618644
United States,2018,326838199,7088.0,2.1686571587062256
United States,2019,328329953,7768.0,2.365912682964993
United States,2020,331501080,10083.0,3.041619049928887
