,area,year,pop_estimate
0,United States,1991,252980941
1,Alabama,1991,4099156
2,Alaska,1991,570193
3,Arizona,1991,3788576
4,Arkansas,1991,2383144
5,California,1991,30470736
6,Colorado,1991,3387119
7,Connecticut,1991,3302895
8,Delaware,1991,683080
9,District of Columbia,1991,600870
10,Florida,1991,13369798
11,Georgia,1991,6653005
12,Hawaii,1991,1136754
13,Idaho,1991,1041316
14,Illinois,1991,11568964
15,Indiana,1991,5616388
16,Iowa,1991,2797613
17,Kansas,1991,2498722
18,Kentucky,1991,3722328
19,Louisiana,1991,4253279
20,Maine,1991,1237081
21,Maryland,1991,4867641
22,Massachusetts,1991,6018470
23,Michigan,1991,9400446
24,Minnesota,1991,4440859
25,Mississippi,1991,2598733
26,Missouri,1991,5170800
27,Montana,1991,809680
28,Nebraska,1991,1595919
29,Nevada,1991,1296171
30,New Hampshire,1991,1109929
31,New Jersey,1991,7814676
32,New Mexico,1991,1555305
33,New York,1991,18122510
34,North Carolina,1991,6784280
35,North Dakota,1991,635753
36,Ohio,1991,10945762
37,Oklahoma,1991,3175440
38,Oregon,1991,2928507
39,Pennsylvania,1991,11982164
40,Rhode Island,1991,1010649
41,South Carolina,1991,3570404
42,South Dakota,1991,703669
43,Tennessee,1991,4966587
44,Texas,1991,17398005
45,Utah,1991,1779780
46,Vermont,1991,568606
47,Virginia,1991,6301217
48,Washington,1991,5025624
49,West Virginia,1991,1798735
50,Wisconsin,1991,4964343
51,Wyoming,1991,459260
52,United States,1992,256514224
53,Alabama,1992,4154014
54,Alaska,1992,588736
55,Arizona,1992,3915740
56,Arkansas,1992,2415984
57,California,1992,30974659
58,Colorado,1992,3495939
59,Connecticut,1992,3300712
60,Delaware,1992,694925
61,District of Columbia,1992,597565
62,Florida,1992,13650553
63,Georgia,1992,6817203
64,Hawaii,1992,1158613
65,Idaho,1992,1071685
66,Illinois,1992,11694184
67,Indiana,1992,5674547
68,Iowa,1992,2818401
69,Kansas,1992,2532394
70,Kentucky,1992,3765469
71,Louisiana,1992,4293003
72,Maine,1992,1238508
73,Maryland,1992,4923368
