state,year,total_incidents,anti_american_indian_or_alaska_native,anti_arab,anti_asian,anti_atheism_agnosticism,anti_bisexual,anti_black_or_african_american,anti_buddhist,anti_catholic,anti_eastern_orthodox_russian_greek_other,anti_female,anti_gay_male,anti_gender_non_conforming,anti_heterosexual,anti_hindu,anti_hispanic_or_latino,anti_islamic_muslim,anti_jehovahs_witness,anti_jewish,anti_lesbian_female,anti_male,anti_mental_disability,anti_mormon,anti_multiple_races_group,anti_multiple_religions_group,anti_native_hawaiian_or_other_pacific_islander,anti_other_christian,anti_other_race_ethnicity_ancestry,anti_other_religion,anti_physical_disability,anti_protestant,anti_sikh,anti_transgender,anti_white,unknown_motivation,anti_lgbtq_grouped
Arizona,1991,48,0,2,2,0,0,23,0,1,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,5,0,0,4,0,1
Arkansas,1991,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
California,1991,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,1991,128,0,2,8,0,0,50,0,1,0,0,8,0,1,0,11,0,0,14,2,0,0,0,4,1,0,0,2,0,0,2,0,0,22,0,10
Connecticut,1991,69,0,2,1,0,0,27,0,1,0,0,7,0,0,0,3,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12
Delaware,1991,29,0,0,0,0,0,5,0,0,0,0,10,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16
District of Columbia,1991,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Georgia,1991,23,0,1,1,0,0,5,0,0,0,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11
Idaho,1991,33,0,3,2,0,0,8,0,0,0,0,2,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
Illinois,1991,156,1,16,2,0,0,41,0,0,0,0,17,0,0,0,5,1,0,16,1,0,0,0,3,0,0,0,6,0,0,0,0,0,46,0,19
Iowa,1991,89,1,0,3,0,0,39,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,8,0,30
Kansas,1991,6,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,1991,431,0,4,20,0,0,191,0,2,0,0,9,0,0,0,7,0,0,49,1,0,0,0,14,2,0,0,12,6,0,12,0,0,102,0,10
Massachusetts,1991,200,0,0,33,0,0,48,0,1,0,0,18,0,0,0,23,0,0,28,3,0,0,0,0,0,0,0,4,0,0,1,0,0,46,0,17
Minnesota,1991,225,3,1,23,0,0,57,0,1,0,0,21,0,0,0,6,0,0,12,2,0,0,0,4,1,0,0,3,1,0,0,0,0,89,0,24
Mississippi,1991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Missouri,1991,136,0,0,7,0,0,69,0,0,0,0,8,0,0,0,2,0,0,3,1,0,0,0,8,1,0,0,3,1,0,0,0,0,33,0,11
Nevada,1991,16,0,0,1,0,0,10,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,1991,894,0,6,87,0,0,340,0,9,0,0,13,0,0,0,26,7,0,229,2,0,0,0,12,2,0,0,23,4,0,0,0,0,132,0,17
New York,1991,943,0,0,0,0,0,265,0,0,0,0,83,0,0,0,53,0,0,317,15,0,0,0,0,0,0,0,60,26,0,0,0,0,122,0,100
Ohio,1991,80,0,4,2,0,0,41,0,0,0,0,5,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,1,2,0,0,0,0,16,0,6
Oklahoma,1991,99,2,13,3,1,0,44,0,0,0,0,0,0,0,0,3,1,0,6,0,0,0,0,7,3,0,0,0,0,0,0,0,0,16,0,0
Oregon,1991,296,1,11,22,2,0,84,0,1,0,0,35,0,1,0,35,0,0,11,9,0,0,0,19,1,0,0,4,0,0,6,0,0,49,0,49
Pennsylvania,1991,277,2,0,17,0,0,130,0,1,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,3,2,0,0,0,0,76,0,0
Tennessee,1991,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,1991,95,0,1,6,1,0,26,0,0,0,0,9,0,0,0,7,0,0,27,2,0,0,0,0,0,0,0,2,1,0,0,0,0,14,0,10
Virginia,1991,54,0,1,3,0,0,28,0,0,0,0,4,0,0,0,2,0,0,4,1,0,0,0,4,0,0,0,1,0,0,0,0,0,5,0,6
Washington,1991,196,1,4,19,0,1,79,0,1,0,0,32,0,0,0,4,0,0,10,1,0,0,0,9,0,0,0,3,2,0,0,0,0,22,0,42
Wisconsin,1991,41,0,2,4,0,0,10,0,0,0,0,5,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,8,0,7
Alabama,1992,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Arizona,1992,172,3,2,8,0,0,69,0,0,0,0,24,0,0,0,14,0,0,17,4,0,0,0,2,0,0,0,3,1,0,0,0,0,22,0,31
Arkansas,1992,38,0,0,0,0,0,9,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,5
California,1992,77,0,1,11,0,0,14,0,0,0,0,22,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,4,2,0,0,0,0,12,0,26
Colorado,1992,261,1,3,13,0,0,103,0,0,0,0,20,0,0,0,32,1,0,18,3,0,0,0,13,1,0,0,10,1,0,1,0,0,35,0,29
Connecticut,1992,63,0,0,2,0,0,12,0,2,0,0,11,0,0,0,7,0,0,11,1,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,12
Delaware,1992,47,0,0,0,0,0,17,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,22
District of Columbia,1992,14,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4
Florida,1992,333,1,0,1,0,1,111,0,0,0,0,40,0,1,0,22,0,0,36,3,0,0,0,6,0,0,0,17,6,0,2,0,0,86,0,44
Georgia,1992,66,1,0,2,0,0,12,0,0,0,0,24,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,22,0,25
