state,year,population_estimate,total_incidents,anti_american_indian_or_alaska_native,anti_arab,anti_asian,anti_atheism_agnosticism,anti_bisexual,anti_black_or_african_american,anti_buddhist,anti_catholic,anti_eastern_orthodox_russian_greek_other,anti_female,anti_gay_male,anti_gender_non_conforming,anti_heterosexual,anti_hindu,anti_hispanic_or_latino,anti_islamic_muslim,anti_jehovahs_witness,anti_jewish,anti_lesbian_female,anti_male,anti_mental_disability,anti_mormon,anti_multiple_races_group,anti_multiple_religions_group,anti_native_hawaiian_or_other_pacific_islander,anti_other_christian,anti_other_race_ethnicity_ancestry,anti_other_religion,anti_physical_disability,anti_protestant,anti_sikh,anti_transgender,anti_white,unknown_motivation,anti_lgbtq_grouped
Alabama,1991,4099156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,1991,570193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1991,3788576,48.0,0.0,2.0,2.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,4.0,0.0,1.0
Arkansas,1991,2383144,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
California,1991,30470736,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado,1991,3387119,128.0,0.0,2.0,8.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,11.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,10.0
Connecticut,1991,3302895,69.0,0.0,2.0,1.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,12.0
Delaware,1991,683080,29.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0
District of Columbia,1991,600870,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Florida,1991,13369798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1991,6653005,23.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0
Hawaii,1991,1136754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1991,1041316,33.0,0.0,3.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0
Illinois,1991,11568964,156.0,1.0,16.0,2.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,5.0,1.0,0.0,16.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,19.0
Indiana,1991,5616388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1991,2797613,89.0,1.0,0.0,3.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,30.0
Kansas,1991,2498722,6.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kentucky,1991,3722328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,1991,4253279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,1991,1237081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1991,4867641,431.0,0.0,4.0,20.0,0.0,0.0,191.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,12.0,6.0,0.0,12.0,0.0,0.0,102.0,0.0,10.0
Massachusetts,1991,6018470,200.0,0.0,0.0,33.0,0.0,0.0,48.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,23.0,0.0,0.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,46.0,0.0,17.0
Michigan,1991,9400446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1991,4440859,225.0,3.0,1.0,23.0,0.0,0.0,57.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,89.0,0.0,24.0
Mississippi,1991,2598733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Missouri,1991,5170800,136.0,0.0,0.0,7.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,11.0
Montana,1991,809680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1991,1595919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
